id,first_name,last_name,email,gender,ip_address,country,sales
1,Dominique,Ahmed,dahmed0@webeden.co.uk,Male,102.245.180.144,Philippines,$0.87
2,Juliette,Whorf,jwhorf1@virginia.edu,Female,229.112.252.242,China,$0.33
3,Susy,Newling,snewling2@sogou.com,Female,28.54.164.138,South Korea,$1.42
4,Tallie,Finder,tfinder3@prnewswire.com,Female,143.188.47.114,Poland,$9.16
5,Clemmie,Tamblingson,ctamblingson4@360.cn,Female,37.186.196.33,Botswana,$3.65
6,Nikki,Loyd,nloyd5@weibo.com,Male,192.106.200.244,China,$7.08
7,Abra,Teresia,ateresia6@tuttocitta.it,Female,221.222.45.7,Brazil,$9.02
8,Dell,Tewnion,dtewnion7@bbc.co.uk,Male,2.21.24.230,Indonesia,$2.02
9,Lidia,Ather,lather8@alibaba.com,Female,92.129.203.117,Poland,$2.48
10,Daloris,Bricklebank,dbricklebank9@chicagotribune.com,Female,94.220.151.82,Colombia,$1.00
11,Jenny,Goggin,jgoggina@columbia.edu,Female,218.247.87.182,Albania,$8.15
12,Fabian,Simonnet,fsimonnetb@engadget.com,Male,253.149.118.70,Indonesia,$9.54
13,Justen,Patterfield,jpatterfieldc@dmoz.org,Male,111.205.43.140,Russia,$6.70
14,Portia,Rehorek,prehorekd@blogger.com,Female,128.163.224.197,Philippines,$8.79
15,Derrik,Mathieu,dmathieue@berkeley.edu,Male,203.32.38.114,Poland,$6.73
16,Jeremias,Earland,jearlandf@about.com,Male,165.198.119.92,Chile,$2.27
17,Shelby,McLaine,smclaineg@army.mil,Female,218.47.146.123,Russia,$5.73
18,Don,Kuzemka,dkuzemkah@globo.com,Male,212.8.200.5,Philippines,$8.72
19,Eustacia,Jordon,ejordoni@google.com,Female,101.66.248.61,Spain,$5.03
20,Ximenez,Izsak,xizsakj@aol.com,Male,71.100.25.143,Brazil,$6.04
21,Tabatha,Stancer,tstancerk@friendfeed.com,Female,64.112.108.48,Brazil,$6.22
22,Bobbie,Quilter,bquilterl@cbsnews.com,Female,153.151.175.145,United States,$4.80
23,Nikolai,Fendlen,nfendlenm@usgs.gov,Male,205.242.171.70,Indonesia,$1.25
24,Decca,Pudner,dpudnern@bigcartel.com,Male,255.164.125.187,Serbia,$0.78
