userID,EmailID,Language,Location
TU001,TU001@gmail.com,EN,Florida
TU002,TU002@gmail.com,FR,NewYork
TU003,TU003@gmail.com,CH,Colorado
TU004,TU004@gmail.com,JP,Georgia
TU005,TU005@gmail.com,EN,Florida
TU006,TU006@gmail.com,FR,NewYork
TU007,TU007@gmail.com,CH,Colorado
TU008,TU008@gmail.com,JP,Georgia
TU009,TU009@gmail.com,EN,Florida
TU010,TU010@gmail.com,FR,NewYork
TU011,TU011@gmail.com,CH,Colorado
TU012,TU012@gmail.com,JP,Georgia
TU013,TU013@gmail.com,EN,Florida
TU014,TU014@gmail.com,FR,NewYork
TU015,TU015@gmail.com,CH,NewYork
TU016,TU016@gmail.com,JP,Colorado
TU017,TU017@gmail.com,EN,Georgia
TU018,TU018@gmail.com,FR,Florida
TU019,TU019@gmail.com,CH,NewYork
TU020,TU020@gmail.com,JP,Colorado
TU021,TU021@gmail.com,EN,NewYork
TU022,TU022@gmail.com,FR,Colorado
TU023,TU023@gmail.com,CH,Georgia
TU024,TU024@gmail.com,JP,Florida
TU025,TU025@gmail.com,EN,NewYork
TU026,TU026@gmail.com,FR,Colorado
TU027,TU027@gmail.com,CH,NewYork
TU028,TU028@gmail.com,JP,Colorado
TU029,TU029@gmail.com,EN,NewYork
TU030,TU030@gmail.com,FR,Colorado
TU031,TU031@gmail.com,CH,Georgia
TU032,TU032@gmail.com,JP,Florida
TU033,TU033@gmail.com,EN,NewYork
TU034,TU034@gmail.com,FR,Georgia
TU035,TU035@gmail.com,CH,Florida
TU036,TU036@gmail.com,JP,NewYork
TU037,TU037@gmail.com,EN,Colorado
TU038,TU038@gmail.com,FR,NewYork
TU039,TU039@gmail.com,CH,Colorado
TU040,TU040@gmail.com,JP,Georgia
TU041,TU041@gmail.com,EN,Florida
TU042,TU042@gmail.com,FR,NewYork
TU043,TU043@gmail.com,CH,Colorado
TU044,TU044@gmail.com,JP,NewYork
TU045,TU045@gmail.com,EN,Colorado
TU046,TU046@gmail.com,FR,NewYork
TU047,TU047@gmail.com,CH,Colorado
TU048,TU048@gmail.com,JP,Georgia
TU049,TU049@gmail.com,EN,Florida
TU050,TU050@gmail.com,FR,NewYork
